exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
202,UPerNet,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},0,4.069339,0.5782,0.4315,0.003
203,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},0,4.397366,0.5855,0.3663,0.001
202,UPerNet,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},1,3.599334,0.6605,0.4537,0.003
203,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},1,3.909537,0.6317,0.4193,0.001
202,UPerNet,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},2,3.593267,0.6758,0.4591,0.00299178
203,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},2,3.668894,0.6603,0.437,0.00099726
202,UPerNet,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},3,3.577283,0.6761,0.4546,0.00296722
203,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},3,3.680534,0.6682,0.4365,0.00098907
202,UPerNet,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},4,3.266957,0.7023,0.4825,0.00292658
203,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},4,3.665925,0.6807,0.4028,0.00097553
202,UPerNet,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},5,3.717838,0.668,0.4355,0.00287032
203,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},5,3.949219,0.6416,0.42,0.00095677
203,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},6,3.511395,0.6748,0.4526,0.00093301
202,UPerNet,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},6,3.460067,0.6835,0.4794,0.00279904
