exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},9,3.557575,0.672,0.4767,0.00044774
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},13,3.75023,0.6632,0.4464,9.549e-05
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},9,3.442085,0.6997,0.474,0.00044774
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},10,3.572609,0.677,0.4633,0.00034549
191,UPerNet,mit_b1,0.001,64,1e-05,0.1,3,2,{},14,3.775318,0.6618,0.4403,4.323e-05
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},10,3.53049,0.689,0.4639,0.00034549
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},11,3.88358,0.6553,0.4187,0.00025
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},11,3.676542,0.6875,0.4423,0.00025
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},12,3.927462,0.6527,0.4162,0.00016543
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},12,3.68722,0.6875,0.4542,0.00016543
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},13,3.819797,0.6613,0.4403,9.549e-05
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},13,3.7676,0.6847,0.4411,9.549e-05
194,UPerNet,mit_b2,0.001,64,1e-05,0.1,3,2,{},14,3.787768,0.6683,0.4338,4.323e-05
193,UPerNet,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},14,3.788281,0.6872,0.4323,4.323e-05
