exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},0,5.316713,0.5114,0.2601,0.001
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},0,5.346603,0.4384,0.3191,0.001
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},0,4.297708,0.6014,0.3778,0.001
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},1,4.590531,0.5614,0.3531,0.001
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},1,4.376024,0.5623,0.3687,0.001
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},1,3.701299,0.6606,0.4312,0.001
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},2,4.446507,0.5749,0.3694,0.00098907
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},2,4.155889,0.6002,0.4056,0.00098907
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},3,4.072222,0.6217,0.4065,0.00095677
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},2,3.727807,0.6533,0.445,0.00098907
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},3,3.973116,0.6397,0.426,0.00095677
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},4,3.902987,0.6235,0.4416,0.00090451
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},3,3.694643,0.664,0.4418,0.00095677
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},5,3.903782,0.6361,0.417,0.00083457
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},4,4.096424,0.6092,0.3984,0.00090451
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},6,3.964027,0.6064,0.4425,0.00075
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},4,3.327229,0.696,0.4671,0.00090451
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},5,3.997614,0.6424,0.3896,0.00083457
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},7,4.122152,0.6243,0.3671,0.00065451
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},5,3.671989,0.6642,0.4611,0.00083457
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},6,4.097544,0.6123,0.3905,0.00075
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},8,3.96378,0.6128,0.44,0.00055226
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},9,3.661291,0.6598,0.4634,0.00044774
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},6,3.443139,0.6892,0.453,0.00075
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},7,3.825923,0.6329,0.4628,0.00065451
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},10,3.72623,0.6647,0.4316,0.00034549
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},7,3.629041,0.6829,0.4376,0.00065451
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},8,3.981651,0.6505,0.38,0.00055226
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},11,3.821581,0.6475,0.4568,0.00025
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},12,3.683119,0.6617,0.4645,0.00016543
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},9,3.601587,0.6689,0.4675,0.00044774
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},8,3.812788,0.6663,0.4217,0.00055226
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},13,3.80116,0.6483,0.4562,9.549e-05
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},10,3.741897,0.6578,0.4648,0.00034549
189,Segformer,mit_b1,0.001,64,1e-05,0.1,3,2,{},14,3.825589,0.6504,0.4445,4.323e-05
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},9,3.552084,0.6908,0.4429,0.00044774
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},11,4.325164,0.6205,0.3809,0.00025
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},10,3.669235,0.6797,0.4409,0.00034549
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},12,3.989007,0.6584,0.3956,0.00016543
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},11,3.858405,0.6785,0.418,0.00025
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},13,3.887908,0.655,0.4452,9.549e-05
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},12,3.787415,0.6863,0.4337,0.00016543
190,Segformer,mit_b2,0.001,64,1e-05,0.1,3,2,{},14,3.892006,0.6653,0.4313,4.323e-05
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},13,3.75022,0.6846,0.4483,9.549e-05
188,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},14,3.815425,0.6862,0.4336,4.323e-05
