exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
197,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},5,3.970959,0.6226,0.4293,0.00095677
200,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},5,3.761719,0.6662,0.4258,0.00095677
199,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},5,3.685763,0.6537,0.4505,0.00191355
198,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.05,3,2,{},5,3.488357,0.6855,0.4488,0.00287032
201,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},5,4.142243,0.6294,0.3966,0.00191355
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},16,4.457779,0.6638,0.3565,0.0015
197,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},6,3.512167,0.6714,0.4702,0.00093301
200,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},6,3.569122,0.6752,0.4327,0.00093301
199,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},6,3.409234,0.6892,0.4567,0.00186603
198,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.05,3,2,{},6,3.286612,0.6977,0.4897,0.00279904
201,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},6,3.421343,0.6915,0.4613,0.00186603
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},17,3.847086,0.6986,0.4256,0.00134321
197,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},7,3.593131,0.6756,0.4427,0.00090451
200,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},7,3.559847,0.6791,0.4607,0.00090451
198,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.05,3,2,{},7,3.535073,0.6647,0.4875,0.00271353
199,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},7,3.575732,0.6667,0.4781,0.00180902
201,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},7,3.43136,0.6948,0.4811,0.00180902
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},18,3.686256,0.6985,0.4412,0.00118813
197,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},8,3.54053,0.6792,0.4608,0.00087157
200,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},8,3.521277,0.689,0.4551,0.00087157
198,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.05,3,2,{},8,3.9139,0.6683,0.3987,0.00261472
199,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},8,3.694628,0.6844,0.4095,0.00174314
201,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},8,3.432569,0.6967,0.4616,0.00174314
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},19,3.762278,0.6932,0.4583,0.00103647
197,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},9,3.570493,0.6756,0.4611,0.00083457
200,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},9,3.495562,0.6841,0.4731,0.00083457
198,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.05,3,2,{},9,3.395306,0.6971,0.4889,0.0025037
199,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},9,3.443009,0.7009,0.4759,0.00166913
201,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},9,3.77603,0.6447,0.4426,0.00166913
196,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.1,3,2,{},20,3.746628,0.6927,0.4497,0.0008899
197,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.05,3,2,{},10,3.63897,0.671,0.4484,0.00079389
200,Segformer,tu-maxvit_nano_rw_256,0.001,64,1e-05,0.1,3,2,{},10,3.551976,0.6841,0.4714,0.00079389
198,Segformer,tu-maxvit_nano_rw_256,0.003,64,1e-05,0.05,3,2,{},10,3.902713,0.6412,0.4267,0.00238168
199,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.05,3,2,{},10,3.659441,0.6822,0.4409,0.00158779
201,Segformer,tu-maxvit_nano_rw_256,0.002,64,1e-05,0.1,3,2,{},10,3.51461,0.6811,0.4763,0.00158779
