exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
114,PSPNet,resnet34,0.001,64,1e-05,0.1,4,2,{},0,6.964383,0.5138,0.2489,0.001
113,PSPNet,resnet34,0.001,64,1e-05,0.1,3,1,{},0,4.227586,0.5359,0.319,0.001
115,PSPNet,resnet34,0.001,64,1e-05,0.1,3,2,{},0,5.379709,0.5348,0.2787,0.001
116,PSPNet,resnet34,0.001,64,1e-05,0.1,4,1,{},0,6.18495,0.5106,0.2355,0.001
114,PSPNet,resnet34,0.001,64,1e-05,0.1,4,2,{},1,6.727031,0.5502,0.2615,0.001
113,PSPNet,resnet34,0.001,64,1e-05,0.1,3,1,{},1,4.648964,0.5428,0.2551,0.001
115,PSPNet,resnet34,0.001,64,1e-05,0.1,3,2,{},1,4.321554,0.6031,0.3338,0.001
116,PSPNet,resnet34,0.001,64,1e-05,0.1,4,1,{},1,6.656724,0.5439,0.2373,0.001
114,PSPNet,resnet34,0.001,64,1e-05,0.1,4,2,{},2,10.976013,0.4329,0.0049,0.00099726
113,PSPNet,resnet34,0.001,64,1e-05,0.1,3,1,{},2,6.672921,0.4294,0.0038,0.00099726
116,PSPNet,resnet34,0.001,64,1e-05,0.1,4,1,{},2,7.939288,0.458,0.0093,0.00099726
115,PSPNet,resnet34,0.001,64,1e-05,0.1,3,2,{},2,9.303281,0.4257,0.0043,0.00099726
114,PSPNet,resnet34,0.001,64,1e-05,0.1,4,2,{},3,5.388491,0.5787,0.2846,0.00098907
116,PSPNet,resnet34,0.001,64,1e-05,0.1,4,1,{},3,5.605237,0.5597,0.3047,0.00098907
113,PSPNet,resnet34,0.001,64,1e-05,0.1,3,1,{},3,4.535595,0.5847,0.1152,0.00098907
115,PSPNet,resnet34,0.001,64,1e-05,0.1,3,2,{},3,4.634612,0.5996,0.2763,0.00098907
114,PSPNet,resnet34,0.001,64,1e-05,0.1,4,2,{},4,6.822745,0.579,0.103,0.00097553
116,PSPNet,resnet34,0.001,64,1e-05,0.1,4,1,{},4,7.552445,0.5328,0.0081,0.00097553
113,PSPNet,resnet34,0.001,64,1e-05,0.1,3,1,{},4,6.019275,0.5353,0.0144,0.00097553
115,PSPNet,resnet34,0.001,64,1e-05,0.1,3,2,{},4,7.436291,0.5065,0.0222,0.00097553
