exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
107,PSPNet,resnet34,0.00025,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,4.758433,0.5591,0.3238,0.00025
103,PSPNet,resnet34,0.001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,6.074185,0.5154,0.237,0.001
105,PSPNet,resnet34,0.0005,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.56408,0.5121,0.2698,0.0005
104,PSPNet,resnet34,0.0005,64,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.126767,0.5383,0.2934,0.0005
106,PSPNet,resnet34,0.0001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.158398,0.5159,0.2338,0.0001
102,PSPNet,resnet34,0.001,64,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,6.262073,0.5043,0.2206,0.001
108,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,4.911448,0.5397,0.32,0.0001
101,PSPNet,resnet34,0.0001,64,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.031258,0.5299,0.311,0.0001
105,PSPNet,resnet34,0.0005,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.612964,0.5774,0.3169,0.0005
104,PSPNet,resnet34,0.0005,64,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.549368,0.5935,0.329,0.0005
107,PSPNet,resnet34,0.00025,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.56062,0.6027,0.3416,0.00025
102,PSPNet,resnet34,0.001,64,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.950019,0.575,0.3016,0.001
103,PSPNet,resnet34,0.001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.969649,0.5468,0.3088,0.001
106,PSPNet,resnet34,0.0001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.815307,0.5468,0.3199,0.0001
108,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.965026,0.5664,0.2204,0.0001
101,PSPNet,resnet34,0.0001,64,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.688215,0.5719,0.3312,0.0001
107,PSPNet,resnet34,0.00025,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",2,5.471955,0.5269,0.1476,0.00024932
