exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
52,PSPNet,resnet34,0.001,256,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,7.68048,0.4194,0.0133,0.001
55,PSPNet,resnet34,0.0001,512,1e-05,0.01,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,7.261452,0.4412,0.2015,0.0001
50,PSPNet,resnet34,0.0005,128,1e-06,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,6.624592,0.4885,0.2141,0.0005
54,PSPNet,resnet34,0.001,256,1e-06,0.5,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.680302,0.5206,0.1434,0.001
53,PSPNet,resnet34,0.0001,256,0.0001,0.01,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,6.347589,0.4818,0.2454,0.0001
51,PSPNet,resnet34,0.001,256,0.0001,0.5,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,7.121529,0.4261,0.0001,0.001
56,PSPNet,resnet34,0.0001,128,1e-06,0.01,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.572483,0.5116,0.2879,0.0001
57,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,6.812288,0.4841,0.1993,0.001
59,PSPNet,resnet34,0.0001,512,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.971333,0.5106,0.2622,0.0001
58,PSPNet,resnet34,0.001,128,1e-05,0.01,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,4.71361,0.5394,0.3308,0.001
52,PSPNet,resnet34,0.001,256,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.485469,0.5884,0.3487,0.001
51,PSPNet,resnet34,0.001,256,0.0001,0.5,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,5.898128,0.541,0.2581,0.001
55,PSPNet,resnet34,0.0001,512,1e-05,0.01,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,6.311174,0.4857,0.2462,0.0001
60,PSPNet,resnet34,0.0005,128,1e-06,0.01,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.018032,0.5174,0.2541,0.0005
50,PSPNet,resnet34,0.0005,128,1e-06,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,5.318643,0.5661,0.2931,0.0005
