exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,7.04348,0.4767,0.1898,0.001
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.32759,0.5175,0.2927,0.001
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,5.207754,0.5482,0.3011,0.001
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,6.397841,0.5308,0.2365,0.001
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",2,5.108087,0.5389,0.201,0.00099726
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",2,5.766334,0.5391,0.1067,0.00099726
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",3,6.085183,0.552,0.0384,0.00098907
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",3,5.050187,0.5576,0.2991,0.00098907
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",4,5.33217,0.5756,0.1076,0.00097553
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",4,4.69327,0.5806,0.2257,0.00097553
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",5,4.39931,0.5995,0.3324,0.00095677
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",5,4.097129,0.6208,0.3788,0.00095677
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",6,5.385102,0.53,0.1726,0.00093301
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",6,5.069106,0.5149,0.2487,0.00093301
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",7,6.36592,0.566,0.0324,0.00090451
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",7,4.044926,0.6334,0.3771,0.00090451
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",8,7.846541,0.3603,0.0497,0.00087157
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",9,4.596844,0.5843,0.3257,0.00083457
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",8,4.856832,0.5669,0.3114,0.00087157
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",10,4.943492,0.5674,0.3054,0.00079389
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",9,6.29833,0.5454,0.0658,0.00083457
76,PSPNet,resnet34,0.001,128,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",11,5.22817,0.6039,0.0991,0.00075
75,PSPNet,resnet34,0.001,128,1e-05,0.05,3,2,"{'rhf': 0.5, 'rvf': 0.3}",10,5.57721,0.5357,0.2544,0.00079389
