exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
80,PSPNet,resnet34,0.001,32,1e-05,0.05,4,2,"{'rhf': 0.5, 'rvf': 0.3}",0,6.228346,0.5131,0.2851,0.001
81,PSPNet,resnet34,0.001,32,1e-05,0.05,4,1,"{'rhf': 0.5, 'rvf': 0.3}",0,5.278216,0.52,0.2914,0.001
78,PSPNet,resnet34,0.001,32,1e-05,0.05,2,1,{},0,3.057716,0.5763,0.3479,0.001
79,PSPNet,resnet34,0.001,32,1e-05,0.05,3,1,"{'rhf': 0.5, 'rvf': 0.3}",0,4.136904,0.5245,0.3181,0.001
77,PSPNet,resnet34,0.001,32,1e-05,0.05,2,2,{},0,4.160658,0.5586,0.3115,0.001
79,PSPNet,resnet34,0.001,32,1e-05,0.05,3,1,"{'rhf': 0.5, 'rvf': 0.3}",1,4.209641,0.5531,0.2354,0.001
80,PSPNet,resnet34,0.001,32,1e-05,0.05,4,2,"{'rhf': 0.5, 'rvf': 0.3}",1,5.855103,0.5634,0.2314,0.001
81,PSPNet,resnet34,0.001,32,1e-05,0.05,4,1,"{'rhf': 0.5, 'rvf': 0.3}",1,4.91773,0.5336,0.3301,0.001
78,PSPNet,resnet34,0.001,32,1e-05,0.05,2,1,{},1,3.009045,0.5887,0.3207,0.001
77,PSPNet,resnet34,0.001,32,1e-05,0.05,2,2,{},1,3.668012,0.6037,0.3422,0.001
79,PSPNet,resnet34,0.001,32,1e-05,0.05,3,1,"{'rhf': 0.5, 'rvf': 0.3}",2,5.033368,0.516,0.1045,0.00099726
81,PSPNet,resnet34,0.001,32,1e-05,0.05,4,1,"{'rhf': 0.5, 'rvf': 0.3}",2,4.773701,0.5711,0.283,0.00099726
78,PSPNet,resnet34,0.001,32,1e-05,0.05,2,1,{},2,3.97656,0.5034,0.1222,0.00099726
80,PSPNet,resnet34,0.001,32,1e-05,0.05,4,2,"{'rhf': 0.5, 'rvf': 0.3}",2,7.401825,0.5113,0.1062,0.00099726
77,PSPNet,resnet34,0.001,32,1e-05,0.05,2,2,{},2,4.353212,0.5784,0.1366,0.00099726
78,PSPNet,resnet34,0.001,32,1e-05,0.05,2,1,{},3,4.664266,0.5349,0.2248,0.00098907
79,PSPNet,resnet34,0.001,32,1e-05,0.05,3,1,"{'rhf': 0.5, 'rvf': 0.3}",3,3.890773,0.5751,0.3576,0.00098907
81,PSPNet,resnet34,0.001,32,1e-05,0.05,4,1,"{'rhf': 0.5, 'rvf': 0.3}",3,4.852937,0.5631,0.2946,0.00098907
80,PSPNet,resnet34,0.001,32,1e-05,0.05,4,2,"{'rhf': 0.5, 'rvf': 0.3}",3,5.52343,0.5653,0.3379,0.00098907
77,PSPNet,resnet34,0.001,32,1e-05,0.05,2,2,{},3,4.421144,0.5857,0.2907,0.00098907
78,PSPNet,resnet34,0.001,32,1e-05,0.05,2,1,{},4,3.30263,0.6258,0.1656,0.00097553
79,PSPNet,resnet34,0.001,32,1e-05,0.05,3,1,"{'rhf': 0.5, 'rvf': 0.3}",4,4.631227,0.5687,0.0887,0.00097553
81,PSPNet,resnet34,0.001,32,1e-05,0.05,4,1,"{'rhf': 0.5, 'rvf': 0.3}",4,5.969217,0.5255,0.1232,0.00097553
80,PSPNet,resnet34,0.001,32,1e-05,0.05,4,2,"{'rhf': 0.5, 'rvf': 0.3}",4,6.274322,0.5589,0.1545,0.00097553
77,PSPNet,resnet34,0.001,32,1e-05,0.05,2,2,{},4,4.417119,0.588,0.1418,0.00097553
78,PSPNet,resnet34,0.001,32,1e-05,0.05,2,1,{},5,2.778267,0.6436,0.3842,0.00095677
79,PSPNet,resnet34,0.001,32,1e-05,0.05,3,1,"{'rhf': 0.5, 'rvf': 0.3}",5,3.689406,0.6048,0.3458,0.00095677
80,PSPNet,resnet34,0.001,32,1e-05,0.05,4,2,"{'rhf': 0.5, 'rvf': 0.3}",5,5.147282,0.5895,0.3681,0.00095677
