exp_num,arch,encoder,lr,batch_size,weight_decay,encoder_lr_mult,loss_high_weight,loss_med_weight,augmentations,epoch,val_loss,val_iou,val_high_iou,decoder_lr
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.624262,0.5791,0.321,0.0001
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",2,4.571103,0.5639,0.3535,9.755e-05
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",3,4.456969,0.6038,0.3372,9.045e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,5.285072,0.5075,0.2913,0.0001
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",4,4.5077,0.6011,0.3616,7.939e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,5.152304,0.5271,0.2877,0.0001
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",5,4.356339,0.6043,0.3731,6.545e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",2,5.049592,0.5333,0.2956,9.755e-05
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",6,4.401598,0.6111,0.3391,5e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",3,4.915659,0.5499,0.3112,9.045e-05
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",7,4.464174,0.6033,0.3252,3.455e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",4,4.881057,0.5553,0.3096,7.939e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",5,4.824243,0.5598,0.3248,6.545e-05
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",8,4.402954,0.6037,0.3534,2.061e-05
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",9,4.320909,0.6004,0.3824,9.55e-06
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",6,4.807049,0.5582,0.3219,5e-05
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",10,4.254228,0.6111,0.3853,2.45e-06
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",7,4.769838,0.5576,0.3248,3.455e-05
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",11,4.351228,0.619,0.3744,0.0001
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",8,4.737716,0.5637,0.335,2.061e-05
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",12,4.583063,0.6185,0.2651,9.938e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",9,4.707687,0.5667,0.3385,9.55e-06
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",13,4.371498,0.6051,0.3587,9.755e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",10,4.782375,0.5615,0.323,2.45e-06
4,PSPNet,resnet50,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",14,4.543721,0.6076,0.3128,9.455e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",11,4.700082,0.5735,0.3289,0.0001
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",12,4.658249,0.5633,0.3412,9.938e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",0,4.918778,0.5385,0.3196,0.0001
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",13,4.658076,0.5699,0.3412,9.755e-05
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",1,4.930552,0.5691,0.2277,0.0001
6,PSPNet,resnet34,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",2,4.642634,0.5681,0.319,9.755e-05
5,PSPNet,timm-efficientnet-b4,0.0001,32,1e-05,0.1,3,2,"{'rhf': 0.5, 'rvf': 0.3}",14,4.649547,0.5684,0.3416,9.455e-05
